       1      60.2626
       2      47.8422
       3      46.9649
       4      48.3336
       5      50.6368
       6      47.5241
       7      58.8702
       8      66.6235
       9      57.2176
      10      44.6153
       1      72.4669
       2      68.1328
       3      84.5255
       4      65.8342
       5      49.8209
       6      45.2336
       7      42.0364
       8      43.6936
       9      47.4852
      10      65.0549
       1      58.8894
       2      62.7988
       3      41.3211
       4      53.1227
       5      58.5822
       6      46.6352
       7      39.9787
       8      39.6117
       9      56.8718
      10      41.4180
       1      56.0718
       2      41.1797
       3      47.1671
       4      66.3928
       5      60.2275
       6      64.2514
       7      62.3486
       8      62.6595
       9      50.6763
      10      54.1854
       1      48.8325
       2      82.4397
       3      46.0186
       4      50.1853
       5      32.0527
       6      46.1807
       7      28.0699
       8      51.6683
       9      65.5496
      10      49.8798
       1      31.4433
       2      37.8292
       3      47.0762
       4      48.8748
       5      50.0972
       6      52.7272
       7      55.1277
       8      61.0110
       9      51.8282
      10      56.6963
       1      39.9762
       2      45.4162
       3      44.6635
       4      47.3704
       5      46.0970
       6      44.5812
       7      45.7591
       8      48.9572
       9      28.3296
      10      63.3170
       1      49.9669
       2      53.5578
       3      65.7140
       4      40.3190
       5      46.4889
       6      47.9832
       7      48.5166
       8      49.3536
       9      59.8117
      10      74.3910
       1      49.1063
       2      64.7674
       3      41.2904
       4      21.2715
       5      32.7410
       6      39.6834
       7      39.6740
       8      57.0135
       9      58.1251
      10      49.7213
       1      59.0750
       2      44.7679
       3      62.2186
       4      59.9839
       5      67.6714
       6      54.0402
       7      60.0073
       8      36.7690
       9      47.0732
      10      36.0330
       1      50.1874
       2      62.9990
       3      46.5681
       4      56.1137
       5      29.9442
       6      50.2594
       7      45.6692
       8      33.9223
       9      50.2044
      10      51.1808
       1      46.8332
       2      56.6650
       3      50.4105
       4      39.0677
       5      49.5378
       6      47.8819
       7      59.4764
       8      49.0872
       9      26.0265
      10      53.3989
       1      50.9905
       2      61.9893
       3      62.3210
       4      49.8236
       5      75.4249
       6      40.6982
       7      45.4272
       8      44.5412
       9      57.5957
      10      60.1069
       1      75.0696
       2      52.0205
       3      62.6180
       4      45.3983
       5      42.5199
       6      52.8878
       7      65.9135
       8      42.4410
       9      59.8706
      10      74.4340
       1      45.3974
       2      56.3329
       3      40.8682
       4      55.6557
       5      50.7293
       6      35.9676
       7      54.8553
       8      55.9591
       9      52.4988
      10      43.8638
       1      60.8061
       2      68.9965
       3      61.4397
       4      60.1856
       5      38.7330
       6      50.2937
       7      58.3450
